Designator,Value,Footprint,Qty,Mfg,PN,JLCPCB part#
AE1,Antenna,obsidian-boa:479480001,1,Molex,479480001,C152351
"C1,C2,C7",2.2uF,C_0402_1005Metric,3,Yageo,CC0402MRX5R5BB225,C106860
"C3,C4",18pF,Capacitor_SMD:C_0402_1005Metric,2,Yageo,CC0402GRNPO9BN180,C114393
"C5,C14,C19",10u,Capacitor_SMD:C_0603_1608Metric,3,Yageo,CC0603KRX5R5BB106,C109455
C6,22pF,Capacitor_SMD:C_0402_1005Metric,1,Yageo,CC0402KRNPO9BN220,C2168187
"C9,C12,C13,C15",100n,Capacitor_SMD:C_0402_1005Metric,4,Yageo,CC0402ZRY5V7BB104,C106209
"C10,C11",1pF,Capacitor_SMD:C_0402_1005Metric,2,,CQ0402CRNPO9BN1R0,C1550
C16,3.3nF,Capacitor_SMD:C_0201_0603Metric,1,Yageo,GRM033R70J332KA01D,C312053
C17,10nF,Capacitor_SMD:C_0402_1005Metric,1,Yageo,KGM05AR70J103KH,C60133
C18,0.1uF,Capacitor_SMD:C_0402_1005Metric,1,Yageo,CL05B104KP5NNNC,C133086
C20,4.7uF,Capacitor_SMD:C_0402_1005Metric,1,Yageo,CL05A475MP5NRNC,C23733
D3,BLU,obsidian-boa:LED_0603_1608Metric_Compact,1,Lite-On Inc.,LTST-C191TBKT,C99290
J1,USB_C,V1-foot:USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,GCT,USB4105-GF-A,C3025063
L1,2.2uH,Inductor_SMD:L_0805_2012Metric,1,,CWCI0805F-100KT,C1043
L2,2.7nH,Inductor_SMD:L_0402_1005Metric,1,,SDCL1005C2N7STDF,C27123
"Q1,Q2",SS8050-G,SOT95P240X115-3N,2,,SS8050-G,C164885
RN1,10K,Resistor_SMD:R_Array_Convex_4x0402,1,,,C178757
"R1,R10",10k,Resistor_SMD:R_0402_1005Metric,3,-- mixed values --,-- mixed values --,C60490
R7,453k,Resistor_SMD:R_0402_1005Metric,1,Yageo,RC0402FR-07453KL,C137978
R8,100k,Resistor_SMD:R_0402_1005Metric,1,Yageo,RC0402FR-07100KL,C60491
R13,2k2,Resistor_SMD:R_0402_1005Metric,1,Yageo,RC0402FR-072K2L,C114762
R15,20K,Resistor_SMD:R_0402_1005Metric,1,Yageo,RC0402FR-0720KL,C93942
R16,22.1K,Resistor_SMD:R_0402_1005Metric,1,Yageo,CRCW040222K1FKEDC,C43473
R17,47.5K,Resistor_SMD:R_0402_1005Metric,1,Yageo,RC0402FR-0747K5L,C137974
R18,2K,Resistor_SMD:R_0402_1005Metric,1,Yageo,ERJ-2RKF2001X,C413086
"R20,R21,R22",10K,Resistor_SMD:R_0402_1005Metric,3,Yageo,RC0402FR-0710KL,C60490
"SW1,SW2",TACT,CP2102:EVPBB2A9B000,2,,EVP-BB2A9B000,C9900011190
U2,LY68L6400SLIT,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1,,LY68L6400SLIT,C261881
U3,ESP32-D0WDQ6,V1-foot:QFN40P600X600X90-49N-D,1,,ESP32-D0WDQ6,C129733
U4,W25Q128JV,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,1,Winbond Electronics,W25Q128JVSIQ TR,C97521
U5,TPS62290,Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,Texas Instruments,TPS62290DRVR,C129315
U7,CP2102N-Axx-xQFN28,Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,,CP2102N-A02-GQFN28R,C964632
Y1,40MHz,Crystal:Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm,1,ECS Inc.,ECS-400-10-36B-CKY-TR,C6941971
