Designator,Footprint,Quantity,Value,LCSC Part #
AE1,0479480001,1,Antenna,
"C1, C2, C7",0402,3,2.2uF,
"C10, C11",0402,2,1pF,
"C12, C13, C15, C9",0402,4,100n,
"C14, C19, C5",0603,3,10u,
C16,0201,1,3.3nF,
C17,0402,1,10nF,
C18,0402,1,0.1uF,
C20,0402,1,4.7uF,
"C3, C4",0402,2,18pF,
C6,0402,1,22pF,
D3,0603,1,BLU,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C,
L1,0805,1,2.2uH,
L2,0402,1,2.7nH,
P10,Pin_Header_Straight_Round_1x01_Castellated,1,10,
P11,Pin_Header_Straight_Round_1x01_Castellated,1,11,
P12,Pin_Header_Straight_Round_1x01_Castellated,1,12,
P13,Pin_Header_Straight_Round_1x01_Castellated,1,13,
P14,Pin_Header_Straight_Round_1x01_Castellated,1,14,
P16,Pin_Header_Straight_Round_1x01_Castellated,1,16,
P17,Pin_Header_Straight_Round_1x01_Castellated,1,17,
P18,Pin_Header_Straight_Round_1x01_Castellated,1,18,
P25,Pin_Header_Straight_Round_1x01_Castellated,1,GND,
P28,Pin_Header_Straight_Round_1x01_Castellated,1,3V3,
P30,Pin_Header_Straight_Round_1x01_Castellated,1,CDONE,
P31,Pin_Header_Straight_Round_1x01_Castellated,1,CRESET,
P7,Pin_Header_Straight_Round_1x01_Castellated,1,7,
P8,Pin_Header_Straight_Round_1x01_Castellated,1,8,
P9,Pin_Header_Straight_Round_1x01_Castellated,1,9,
"Q1, Q2",SOT95P240X115-3N,2,SS8050-G,
"R1, R10, R20, R21, R22",0402,5,10k,
R13,0402,1,2k2,
R15,0402,1,20K,
R16,0402,1,22.1K,
R17,0402,1,47.5K,
R18,0402,1,2K,
R7,0402,1,453k,
R8,0402,1,100k,
RN1,R_Array_Convex_4x0402,1,10k,
"SW1, SW2",EVPBB2A9B000,2,TACT,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LY68L6400SLIT,
U3,ESP32D0WDQ6,1,ESP32-D0WDQ6,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JV,
U5,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TPS62290,
U7,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
Y1,Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm,1,40MHz,
