"Reference","Value","Qty","Mfg","PN"
"AE1","Antenna","1","Molex","0479480001"
"C1,C2,C7","2.2uF","3","Yageo","CC0402MRX5R5BB225"
"C3,C4","18pF","2","Yageo","CC0402GRNPO9BN180"
"C5,C14,C19","10u","3","Yageo","CC0603KRX5R5BB106"
"C6","22pF","1","Yageo","CC0402KRNPO9BN220"
"C9,C12,C13,C15","100n","4","Yageo","CC0402ZRY5V7BB104"
"C10,C11","1pF","2","","CQ0402CRNPO9BN1R0"
"C16","3.3nF","1","Yageo","GRM033R70J332KA01D"
"C17","10nF","1","Yageo","KGM05AR70J103KH"
"C18","0.1uF","1","Yageo","CL05B104KP5NNNC"
"C20","4.7uF","1","Yageo","CL05A475MP5NRNC"
"D3","BLU","1","Lite-On Inc.","LTST-C191TBKT"
"J1","USB_C","1","GCT","USB4105-GF-A"
"L1","2.2uH","1","","CWCI0805F-100KT"
"L2","2.7nH","1","","SDCL1005C2N7STDF"
"P7","7","1","",""
"P8","8","1","",""
"P9","9","1","",""
"P10","10","1","",""
"P11","11","1","",""
"P12","12","1","",""
"P13","13","1","",""
"P14","14","1","",""
"P16","16","1","",""
"P17","17","1","",""
"P18","18","1","",""
"P25","GND","1","",""
"P28","3V3","1","",""
"P30","CDONE","1","",""
"P31","CRESET","1","",""
"Q1,Q2","SS8050-G","2","","SS8050-G"
"R1,R10,RN1","10k","3","-- mixed values --","-- mixed values --"
"R7","453k","1","Yageo","RC0402FR-07453KL"
"R8","100k","1","Yageo","RC0402FR-07100KL"
"R13","2k2","1","Yageo","RC0402FR-072K2L"
"R15","20K","1","Yageo","RC0402FR-0720KL"
"R16","22.1K","1","Yageo","CRCW040222K1FKEDC"
"R17","47.5K","1","Yageo","RC0402FR-0747K5L"
"R18","2K","1","Yageo","ERJ-2RKF2001X"
"R20,R21,R22","10K","3","Yageo","RC0402FR-0710KL"
"SW1,SW2","TACT","2","","EVP-BB2A9B000"
"U2","LY68L6400SLIT","1","","LY68L6400SLIT"
"U3","ESP32-D0WDQ6","1","","ESP32-D0WDQ6"
"U4","W25Q128JV","1","Winbond Electronics","W25Q128JVSIQ TR"
"U5","TPS62290","1","Texas Instruments","TPS62290DRVR"
"U7","CP2102N-Axx-xQFN28","1","","CP2102N-A02-GQFN28R"
"Y1","40MHz","1","ECS Inc.","ECS-400-10-36B-CKY-TR"
